"Datum","Titel","Abstimmungstext","Partei","Parole"
"2015-06-14","2. Velo-Initiative","«Volksinitiative für sichere und durchgängige Velorouten» (Velo-Initiative)","glp","JA"
"2015-06-14","2. Velo-Initiative","«Volksinitiative für sichere und durchgängige Velorouten» (Velo-Initiative)","SP","JA"
"2015-06-14","2. Velo-Initiative","«Volksinitiative für sichere und durchgängige Velorouten» (Velo-Initiative)","SVP","NEIN"
"2015-06-14","2. Velo-Initiative","«Volksinitiative für sichere und durchgängige Velorouten» (Velo-Initiative)","AL","A (Volksinitiative)"
"2015-06-14","2. Velo-Initiative","«Volksinitiative für sichere und durchgängige Velorouten» (Velo-Initiative)","CVP","B (Gegenvorschlag)"
"2015-06-14","2. Velo-Initiative","«Volksinitiative für sichere und durchgängige Velorouten» (Velo-Initiative)","FDP","B (Gegenvorschlag)"
"2015-06-14","2. Velo-Initiative","«Volksinitiative für sichere und durchgängige Velorouten» (Velo-Initiative)","Grüne","A (Volksinitiative)"
"2015-06-14","2. Velo-Initiative","«Volksinitiative für sichere und durchgängige Velorouten» (Velo-Initiative)","glp","B (Gegenvorschlag)"
"2015-06-14","2. Velo-Initiative","«Volksinitiative für sichere und durchgängige Velorouten» (Velo-Initiative)","SP","A (Volksinitiative)"
"2015-06-14","2. Velo-Initiative","«Volksinitiative für sichere und durchgängige Velorouten» (Velo-Initiative)","SVP","B (Gegenvorschlag)"
"2015-06-14","3. «Zürich im Landesmuseum»","«Zürich im Landesmuseum», permanente Ausstellung über Stadt und Kanton Zürich, Objektkredit von 1,76 Millionen Franken und jährlich wiederkehrende Betriebsbeiträge von 300'000 Franken für die Jahre 2016–2019","AL","NEIN"
"2015-06-14","3. «Zürich im Landesmuseum»","«Zürich im Landesmuseum», permanente Ausstellung über Stadt und Kanton Zürich, Objektkredit von 1,76 Millionen Franken und jährlich wiederkehrende Betriebsbeiträge von 300'000 Franken für die Jahre 2016–2019","CVP","JA"
"2015-06-14","3. «Zürich im Landesmuseum»","«Zürich im Landesmuseum», permanente Ausstellung über Stadt und Kanton Zürich, Objektkredit von 1,76 Millionen Franken und jährlich wiederkehrende Betriebsbeiträge von 300'000 Franken für die Jahre 2016–2019","FDP","JA"
"2015-06-14","3. «Zürich im Landesmuseum»","«Zürich im Landesmuseum», permanente Ausstellung über Stadt und Kanton Zürich, Objektkredit von 1,76 Millionen Franken und jährlich wiederkehrende Betriebsbeiträge von 300'000 Franken für die Jahre 2016–2019","Grüne","JA"
"2015-06-14","3. «Zürich im Landesmuseum»","«Zürich im Landesmuseum», permanente Ausstellung über Stadt und Kanton Zürich, Objektkredit von 1,76 Millionen Franken und jährlich wiederkehrende Betriebsbeiträge von 300'000 Franken für die Jahre 2016–2019","glp","NEIN"
"2015-06-14","3. «Zürich im Landesmuseum»","«Zürich im Landesmuseum», permanente Ausstellung über Stadt und Kanton Zürich, Objektkredit von 1,76 Millionen Franken und jährlich wiederkehrende Betriebsbeiträge von 300'000 Franken für die Jahre 2016–2019","SP","JA"
"2015-06-14","3. «Zürich im Landesmuseum»","«Zürich im Landesmuseum», permanente Ausstellung über Stadt und Kanton Zürich, Objektkredit von 1,76 Millionen Franken und jährlich wiederkehrende Betriebsbeiträge von 300'000 Franken für die Jahre 2016–2019","SVP","NEIN"
"2015-06-14","4. Kauf der Liegenschaft Florhofgasse 6 und bauliche Sofortmassnahmen","Kauf der Liegenschaft Florhofgasse 6 für die Musikschule Konservatorium Zürich und bauliche Sofortmassnahmen, Objektkredit von 33,6 Millionen Franken","AL","JA"
"2015-06-14","4. Kauf der Liegenschaft Florhofgasse 6 und bauliche Sofortmassnahmen","Kauf der Liegenschaft Florhofgasse 6 für die Musikschule Konservatorium Zürich und bauliche Sofortmassnahmen, Objektkredit von 33,6 Millionen Franken","CVP","JA"
"2015-06-14","4. Kauf der Liegenschaft Florhofgasse 6 und bauliche Sofortmassnahmen","Kauf der Liegenschaft Florhofgasse 6 für die Musikschule Konservatorium Zürich und bauliche Sofortmassnahmen, Objektkredit von 33,6 Millionen Franken","FDP","JA"
"2015-06-14","4. Kauf der Liegenschaft Florhofgasse 6 und bauliche Sofortmassnahmen","Kauf der Liegenschaft Florhofgasse 6 für die Musikschule Konservatorium Zürich und bauliche Sofortmassnahmen, Objektkredit von 33,6 Millionen Franken","Grüne","JA"
"2015-06-14","4. Kauf der Liegenschaft Florhofgasse 6 und bauliche Sofortmassnahmen","Kauf der Liegenschaft Florhofgasse 6 für die Musikschule Konservatorium Zürich und bauliche Sofortmassnahmen, Objektkredit von 33,6 Millionen Franken","glp","JA"
"2015-06-14","4. Kauf der Liegenschaft Florhofgasse 6 und bauliche Sofortmassnahmen","Kauf der Liegenschaft Florhofgasse 6 für die Musikschule Konservatorium Zürich und bauliche Sofortmassnahmen, Objektkredit von 33,6 Millionen Franken","SP","JA"
"2015-06-14","4. Kauf der Liegenschaft Florhofgasse 6 und bauliche Sofortmassnahmen","Kauf der Liegenschaft Florhofgasse 6 für die Musikschule Konservatorium Zürich und bauliche Sofortmassnahmen, Objektkredit von 33,6 Millionen Franken","SVP","NEIN"
"2015-03-08","Kehrichtheizkraftwerk Hagenholz, Metallrückgewinnung","Kehrichtheizkraftwerk Hagenholz, Metallrückgewinnung aus Kehrichtschlacke, Anpassung der Anlagen für den Schlackeaustrag, Objektkredit von 38,9 Millionen Franken","AL",
"2015-03-08","Kehrichtheizkraftwerk Hagenholz, Metallrückgewinnung","Kehrichtheizkraftwerk Hagenholz, Metallrückgewinnung aus Kehrichtschlacke, Anpassung der Anlagen für den Schlackeaustrag, Objektkredit von 38,9 Millionen Franken","CVP","JA"
"2015-03-08","Kehrichtheizkraftwerk Hagenholz, Metallrückgewinnung","Kehrichtheizkraftwerk Hagenholz, Metallrückgewinnung aus Kehrichtschlacke, Anpassung der Anlagen für den Schlackeaustrag, Objektkredit von 38,9 Millionen Franken","FDP","JA"
"2015-03-08","Kehrichtheizkraftwerk Hagenholz, Metallrückgewinnung","Kehrichtheizkraftwerk Hagenholz, Metallrückgewinnung aus Kehrichtschlacke, Anpassung der Anlagen für den Schlackeaustrag, Objektkredit von 38,9 Millionen Franken","Grüne","JA"
"2015-03-08","Kehrichtheizkraftwerk Hagenholz, Metallrückgewinnung","Kehrichtheizkraftwerk Hagenholz, Metallrückgewinnung aus Kehrichtschlacke, Anpassung der Anlagen für den Schlackeaustrag, Objektkredit von 38,9 Millionen Franken","glp","JA"
"2015-03-08","Kehrichtheizkraftwerk Hagenholz, Metallrückgewinnung","Kehrichtheizkraftwerk Hagenholz, Metallrückgewinnung aus Kehrichtschlacke, Anpassung der Anlagen für den Schlackeaustrag, Objektkredit von 38,9 Millionen Franken","SP",
"2015-03-08","Kehrichtheizkraftwerk Hagenholz, Metallrückgewinnung","Kehrichtheizkraftwerk Hagenholz, Metallrückgewinnung aus Kehrichtschlacke, Anpassung der Anlagen für den Schlackeaustrag, Objektkredit von 38,9 Millionen Franken","SVP","JA"
"2014-11-30","Zürcher Ausnüchterungs- und Betreuungsstelle (ZAB)","Zürcher Ausnüchterungs- und Betreuungsstelle (ZAB), Erlass einer Verordnung für die definitive Einrichtung","AL","NEIN"
"2014-11-30","Zürcher Ausnüchterungs- und Betreuungsstelle (ZAB)","Zürcher Ausnüchterungs- und Betreuungsstelle (ZAB), Erlass einer Verordnung für die definitive Einrichtung","CVP","NEIN"
"2014-11-30","Zürcher Ausnüchterungs- und Betreuungsstelle (ZAB)","Zürcher Ausnüchterungs- und Betreuungsstelle (ZAB), Erlass einer Verordnung für die definitive Einrichtung","FDP","NEIN"
"2014-11-30","Zürcher Ausnüchterungs- und Betreuungsstelle (ZAB)","Zürcher Ausnüchterungs- und Betreuungsstelle (ZAB), Erlass einer Verordnung für die definitive Einrichtung","Grüne","NEIN"
"2014-11-30","Zürcher Ausnüchterungs- und Betreuungsstelle (ZAB)","Zürcher Ausnüchterungs- und Betreuungsstelle (ZAB), Erlass einer Verordnung für die definitive Einrichtung","glp","JA"
"2014-11-30","Zürcher Ausnüchterungs- und Betreuungsstelle (ZAB)","Zürcher Ausnüchterungs- und Betreuungsstelle (ZAB), Erlass einer Verordnung für die definitive Einrichtung","SP","JA"
"2014-11-30","Zürcher Ausnüchterungs- und Betreuungsstelle (ZAB)","Zürcher Ausnüchterungs- und Betreuungsstelle (ZAB), Erlass einer Verordnung für die definitive Einrichtung","SVP","NEIN"
"2014-09-28","Sportzentrum Heuried","Sportzentrum Heuried, Quartier Friesenberg, Neubau Hochbauten (Eissportanlage) und Erneuerung Badeanlage, Objektkredit von 81,359 Millionen Franken","AL","JA"
"2014-09-28","Sportzentrum Heuried","Sportzentrum Heuried, Quartier Friesenberg, Neubau Hochbauten (Eissportanlage) und Erneuerung Badeanlage, Objektkredit von 81,359 Millionen Franken","CVP","JA"
"2014-09-28","Sportzentrum Heuried","Sportzentrum Heuried, Quartier Friesenberg, Neubau Hochbauten (Eissportanlage) und Erneuerung Badeanlage, Objektkredit von 81,359 Millionen Franken","FDP","JA"
"2014-09-28","Sportzentrum Heuried","Sportzentrum Heuried, Quartier Friesenberg, Neubau Hochbauten (Eissportanlage) und Erneuerung Badeanlage, Objektkredit von 81,359 Millionen Franken","Grüne","JA"
"2014-09-28","Sportzentrum Heuried","Sportzentrum Heuried, Quartier Friesenberg, Neubau Hochbauten (Eissportanlage) und Erneuerung Badeanlage, Objektkredit von 81,359 Millionen Franken","glp","JA"
"2014-09-28","Sportzentrum Heuried","Sportzentrum Heuried, Quartier Friesenberg, Neubau Hochbauten (Eissportanlage) und Erneuerung Badeanlage, Objektkredit von 81,359 Millionen Franken","SP","JA"
"2014-09-28","Sportzentrum Heuried","Sportzentrum Heuried, Quartier Friesenberg, Neubau Hochbauten (Eissportanlage) und Erneuerung Badeanlage, Objektkredit von 81,359 Millionen Franken","SVP","JA"
"2014-05-18","Rahmenkredit Schulraumpavillons","Rahmenkredit von 50 Millionen Franken zur Beschaffung und Installation von Schulraumpavillons","AL","NEIN"
"2014-05-18","Rahmenkredit Schulraumpavillons","Rahmenkredit von 50 Millionen Franken zur Beschaffung und Installation von Schulraumpavillons","CVP","JA"
"2014-05-18","Rahmenkredit Schulraumpavillons","Rahmenkredit von 50 Millionen Franken zur Beschaffung und Installation von Schulraumpavillons","FDP","JA"
"2014-05-18","Rahmenkredit Schulraumpavillons","Rahmenkredit von 50 Millionen Franken zur Beschaffung und Installation von Schulraumpavillons","Grüne","JA"
"2014-05-18","Rahmenkredit Schulraumpavillons","Rahmenkredit von 50 Millionen Franken zur Beschaffung und Installation von Schulraumpavillons","glp","NEIN"
"2014-05-18","Rahmenkredit Schulraumpavillons","Rahmenkredit von 50 Millionen Franken zur Beschaffung und Installation von Schulraumpavillons","SP","JA"
"2014-05-18","Rahmenkredit Schulraumpavillons","Rahmenkredit von 50 Millionen Franken zur Beschaffung und Installation von Schulraumpavillons","SVP","JA"
"2013-11-24","1. Strassenneugestaltung Lagerstrasse","Lagerstrasse, Abschnitt Lang- bis Kasernenstrasse, Strassenneugestaltung, Landerwerb, Lärmsanierung, Objektkredit von 16,69 Millionen Franken","AL","NEIN"
"2013-11-24","1. Strassenneugestaltung Lagerstrasse","Lagerstrasse, Abschnitt Lang- bis Kasernenstrasse, Strassenneugestaltung, Landerwerb, Lärmsanierung, Objektkredit von 16,69 Millionen Franken","CVP","JA"
"2013-11-24","1. Strassenneugestaltung Lagerstrasse","Lagerstrasse, Abschnitt Lang- bis Kasernenstrasse, Strassenneugestaltung, Landerwerb, Lärmsanierung, Objektkredit von 16,69 Millionen Franken","EVP","Stimmfreigabe"
"2013-11-24","1. Strassenneugestaltung Lagerstrasse","Lagerstrasse, Abschnitt Lang- bis Kasernenstrasse, Strassenneugestaltung, Landerwerb, Lärmsanierung, Objektkredit von 16,69 Millionen Franken","FDP","JA"
"2013-11-24","1. Strassenneugestaltung Lagerstrasse","Lagerstrasse, Abschnitt Lang- bis Kasernenstrasse, Strassenneugestaltung, Landerwerb, Lärmsanierung, Objektkredit von 16,69 Millionen Franken","Grüne","JA"
"2013-11-24","1. Strassenneugestaltung Lagerstrasse","Lagerstrasse, Abschnitt Lang- bis Kasernenstrasse, Strassenneugestaltung, Landerwerb, Lärmsanierung, Objektkredit von 16,69 Millionen Franken","glp","JA"
"2013-11-24","1. Strassenneugestaltung Lagerstrasse","Lagerstrasse, Abschnitt Lang- bis Kasernenstrasse, Strassenneugestaltung, Landerwerb, Lärmsanierung, Objektkredit von 16,69 Millionen Franken","SD","NEIN"
"2013-11-24","1. Strassenneugestaltung Lagerstrasse","Lagerstrasse, Abschnitt Lang- bis Kasernenstrasse, Strassenneugestaltung, Landerwerb, Lärmsanierung, Objektkredit von 16,69 Millionen Franken","SP","JA"
"2013-11-24","1. Strassenneugestaltung Lagerstrasse","Lagerstrasse, Abschnitt Lang- bis Kasernenstrasse, Strassenneugestaltung, Landerwerb, Lärmsanierung, Objektkredit von 16,69 Millionen Franken","SVP","NEIN"
"2013-11-24","2. Neuregelung Zusammensetzung Büro Gemeinderat","Neuregelung der Zusammensetzung des Büros des Gemeinderats, Änderung der Gemeindeordnung","AL","JA"
"2013-11-24","2. Neuregelung Zusammensetzung Büro Gemeinderat","Neuregelung der Zusammensetzung des Büros des Gemeinderats, Änderung der Gemeindeordnung","CVP","JA"
"2013-11-24","2. Neuregelung Zusammensetzung Büro Gemeinderat","Neuregelung der Zusammensetzung des Büros des Gemeinderats, Änderung der Gemeindeordnung","EVP","JA"
"2013-11-24","2. Neuregelung Zusammensetzung Büro Gemeinderat","Neuregelung der Zusammensetzung des Büros des Gemeinderats, Änderung der Gemeindeordnung","FDP","JA"
"2013-11-24","2. Neuregelung Zusammensetzung Büro Gemeinderat","Neuregelung der Zusammensetzung des Büros des Gemeinderats, Änderung der Gemeindeordnung","Grüne","JA"
"2013-11-24","2. Neuregelung Zusammensetzung Büro Gemeinderat","Neuregelung der Zusammensetzung des Büros des Gemeinderats, Änderung der Gemeindeordnung","glp","JA"
"2013-11-24","2. Neuregelung Zusammensetzung Büro Gemeinderat","Neuregelung der Zusammensetzung des Büros des Gemeinderats, Änderung der Gemeindeordnung","SD","JA"
"2013-11-24","2. Neuregelung Zusammensetzung Büro Gemeinderat","Neuregelung der Zusammensetzung des Büros des Gemeinderats, Änderung der Gemeindeordnung","SP","JA"
"2013-11-24","2. Neuregelung Zusammensetzung Büro Gemeinderat","Neuregelung der Zusammensetzung des Büros des Gemeinderats, Änderung der Gemeindeordnung","SVP","JA"
"2013-09-22","1. Bau eines Stadions mit Stadionplatz auf dem Areal Hardturm","Objektkredit von 216,144 Millionen Franken für den Bau eines Stadions mit Stadionplatz auf dem Areal Hardturm sowie Beteiligung von höchstens 5 Millionen Franken und jährlich wiederkehrender Betriebsbeitrag von höchstens 8,3 Millionen Franken an die Betriebsgesellschaft","AL","Stimmfreigabe"
"2013-09-22","1. Bau eines Stadions mit Stadionplatz auf dem Areal Hardturm","Objektkredit von 216,144 Millionen Franken für den Bau eines Stadions mit Stadionplatz auf dem Areal Hardturm sowie Beteiligung von höchstens 5 Millionen Franken und jährlich wiederkehrender Betriebsbeitrag von höchstens 8,3 Millionen Franken an die Betriebsgesellschaft","CVP","JA"
"2013-09-22","1. Bau eines Stadions mit Stadionplatz auf dem Areal Hardturm","Objektkredit von 216,144 Millionen Franken für den Bau eines Stadions mit Stadionplatz auf dem Areal Hardturm sowie Beteiligung von höchstens 5 Millionen Franken und jährlich wiederkehrender Betriebsbeitrag von höchstens 8,3 Millionen Franken an die Betriebsgesellschaft","EVP","NEIN"
"2013-09-22","1. Bau eines Stadions mit Stadionplatz auf dem Areal Hardturm","Objektkredit von 216,144 Millionen Franken für den Bau eines Stadions mit Stadionplatz auf dem Areal Hardturm sowie Beteiligung von höchstens 5 Millionen Franken und jährlich wiederkehrender Betriebsbeitrag von höchstens 8,3 Millionen Franken an die Betriebsgesellschaft","FDP","NEIN"
"2013-09-22","1. Bau eines Stadions mit Stadionplatz auf dem Areal Hardturm","Objektkredit von 216,144 Millionen Franken für den Bau eines Stadions mit Stadionplatz auf dem Areal Hardturm sowie Beteiligung von höchstens 5 Millionen Franken und jährlich wiederkehrender Betriebsbeitrag von höchstens 8,3 Millionen Franken an die Betriebsgesellschaft","Grüne","Stimmfreigabe"
"2013-09-22","1. Bau eines Stadions mit Stadionplatz auf dem Areal Hardturm","Objektkredit von 216,144 Millionen Franken für den Bau eines Stadions mit Stadionplatz auf dem Areal Hardturm sowie Beteiligung von höchstens 5 Millionen Franken und jährlich wiederkehrender Betriebsbeitrag von höchstens 8,3 Millionen Franken an die Betriebsgesellschaft","glp","NEIN"
"2013-09-22","1. Bau eines Stadions mit Stadionplatz auf dem Areal Hardturm","Objektkredit von 216,144 Millionen Franken für den Bau eines Stadions mit Stadionplatz auf dem Areal Hardturm sowie Beteiligung von höchstens 5 Millionen Franken und jährlich wiederkehrender Betriebsbeitrag von höchstens 8,3 Millionen Franken an die Betriebsgesellschaft","SD","NEIN"
"2013-09-22","1. Bau eines Stadions mit Stadionplatz auf dem Areal Hardturm","Objektkredit von 216,144 Millionen Franken für den Bau eines Stadions mit Stadionplatz auf dem Areal Hardturm sowie Beteiligung von höchstens 5 Millionen Franken und jährlich wiederkehrender Betriebsbeitrag von höchstens 8,3 Millionen Franken an die Betriebsgesellschaft","SP","JA"
"2013-09-22","1. Bau eines Stadions mit Stadionplatz auf dem Areal Hardturm","Objektkredit von 216,144 Millionen Franken für den Bau eines Stadions mit Stadionplatz auf dem Areal Hardturm sowie Beteiligung von höchstens 5 Millionen Franken und jährlich wiederkehrender Betriebsbeitrag von höchstens 8,3 Millionen Franken an die Betriebsgesellschaft","SVP","JA"
"2013-09-22","2. Erstellung Wohnsiedlung auf dem Areal Hardturm","Objektkredit von 103,15 Millionen Franken für die Erstellung einer Wohnsiedlung auf dem Areal Hardturm","AL","JA"
"2013-09-22","2. Erstellung Wohnsiedlung auf dem Areal Hardturm","Objektkredit von 103,15 Millionen Franken für die Erstellung einer Wohnsiedlung auf dem Areal Hardturm","CVP","JA"
"2013-09-22","2. Erstellung Wohnsiedlung auf dem Areal Hardturm","Objektkredit von 103,15 Millionen Franken für die Erstellung einer Wohnsiedlung auf dem Areal Hardturm","EVP","JA"
"2013-09-22","2. Erstellung Wohnsiedlung auf dem Areal Hardturm","Objektkredit von 103,15 Millionen Franken für die Erstellung einer Wohnsiedlung auf dem Areal Hardturm","FDP","NEIN"
"2013-09-22","2. Erstellung Wohnsiedlung auf dem Areal Hardturm","Objektkredit von 103,15 Millionen Franken für die Erstellung einer Wohnsiedlung auf dem Areal Hardturm","Grüne","JA"
"2013-09-22","2. Erstellung Wohnsiedlung auf dem Areal Hardturm","Objektkredit von 103,15 Millionen Franken für die Erstellung einer Wohnsiedlung auf dem Areal Hardturm","glp","NEIN"
"2013-09-22","2. Erstellung Wohnsiedlung auf dem Areal Hardturm","Objektkredit von 103,15 Millionen Franken für die Erstellung einer Wohnsiedlung auf dem Areal Hardturm","SD","NEIN"
"2013-09-22","2. Erstellung Wohnsiedlung auf dem Areal Hardturm","Objektkredit von 103,15 Millionen Franken für die Erstellung einer Wohnsiedlung auf dem Areal Hardturm","SP","JA"
"2013-09-22","2. Erstellung Wohnsiedlung auf dem Areal Hardturm","Objektkredit von 103,15 Millionen Franken für die Erstellung einer Wohnsiedlung auf dem Areal Hardturm","SVP","NEIN"
"2013-06-09","1. Wohnsiedlung Areal Kronenwiese","Neue kommunale Wohnsiedlung auf dem Areal Kronenwiese, Zürich-Unterstrass, Objektkredit von 64,8 Millionen Franken","AL","JA"
"2013-06-09","1. Wohnsiedlung Areal Kronenwiese","Neue kommunale Wohnsiedlung auf dem Areal Kronenwiese, Zürich-Unterstrass, Objektkredit von 64,8 Millionen Franken","CVP","JA"
"2013-06-09","1. Wohnsiedlung Areal Kronenwiese","Neue kommunale Wohnsiedlung auf dem Areal Kronenwiese, Zürich-Unterstrass, Objektkredit von 64,8 Millionen Franken","EVP","JA"
"2013-06-09","1. Wohnsiedlung Areal Kronenwiese","Neue kommunale Wohnsiedlung auf dem Areal Kronenwiese, Zürich-Unterstrass, Objektkredit von 64,8 Millionen Franken","FDP","NEIN"
"2013-06-09","1. Wohnsiedlung Areal Kronenwiese","Neue kommunale Wohnsiedlung auf dem Areal Kronenwiese, Zürich-Unterstrass, Objektkredit von 64,8 Millionen Franken","Grüne","JA"
"2013-06-09","1. Wohnsiedlung Areal Kronenwiese","Neue kommunale Wohnsiedlung auf dem Areal Kronenwiese, Zürich-Unterstrass, Objektkredit von 64,8 Millionen Franken","glp","JA"
"2013-06-09","1. Wohnsiedlung Areal Kronenwiese","Neue kommunale Wohnsiedlung auf dem Areal Kronenwiese, Zürich-Unterstrass, Objektkredit von 64,8 Millionen Franken","SD",
"2013-06-09","1. Wohnsiedlung Areal Kronenwiese","Neue kommunale Wohnsiedlung auf dem Areal Kronenwiese, Zürich-Unterstrass, Objektkredit von 64,8 Millionen Franken","SP","JA"
"2013-06-09","1. Wohnsiedlung Areal Kronenwiese","Neue kommunale Wohnsiedlung auf dem Areal Kronenwiese, Zürich-Unterstrass, Objektkredit von 64,8 Millionen Franken","SVP","NEIN"
"2013-06-09","2. Neubau Schulanlage Blumenfeld","Neubau Schulanlage Blumenfeld, Zürich-Affoltern, Objektkredit von 90 Millionen Franken","AL","JA"
"2013-06-09","2. Neubau Schulanlage Blumenfeld","Neubau Schulanlage Blumenfeld, Zürich-Affoltern, Objektkredit von 90 Millionen Franken","CVP","JA"
"2013-06-09","2. Neubau Schulanlage Blumenfeld","Neubau Schulanlage Blumenfeld, Zürich-Affoltern, Objektkredit von 90 Millionen Franken","EVP","JA"
"2013-06-09","2. Neubau Schulanlage Blumenfeld","Neubau Schulanlage Blumenfeld, Zürich-Affoltern, Objektkredit von 90 Millionen Franken","FDP","JA"
"2013-06-09","2. Neubau Schulanlage Blumenfeld","Neubau Schulanlage Blumenfeld, Zürich-Affoltern, Objektkredit von 90 Millionen Franken","Grüne","JA"
"2013-06-09","2. Neubau Schulanlage Blumenfeld","Neubau Schulanlage Blumenfeld, Zürich-Affoltern, Objektkredit von 90 Millionen Franken","glp","JA"
"2013-06-09","2. Neubau Schulanlage Blumenfeld","Neubau Schulanlage Blumenfeld, Zürich-Affoltern, Objektkredit von 90 Millionen Franken","SD",
"2013-06-09","2. Neubau Schulanlage Blumenfeld","Neubau Schulanlage Blumenfeld, Zürich-Affoltern, Objektkredit von 90 Millionen Franken","SP","JA"
"2013-06-09","2. Neubau Schulanlage Blumenfeld","Neubau Schulanlage Blumenfeld, Zürich-Affoltern, Objektkredit von 90 Millionen Franken","SVP","NEIN"
"2013-03-03","1. Bau einer zentralen Klärschlammverwertungsanlage","Bau einer zentralen Klärschlammverwertungsanlage auf dem Areal Werdhölzli, Objektkredit von 68 Mio. Franken","AL","JA"
"2013-03-03","1. Bau einer zentralen Klärschlammverwertungsanlage","Bau einer zentralen Klärschlammverwertungsanlage auf dem Areal Werdhölzli, Objektkredit von 68 Mio. Franken","CVP","JA"
"2013-03-03","1. Bau einer zentralen Klärschlammverwertungsanlage","Bau einer zentralen Klärschlammverwertungsanlage auf dem Areal Werdhölzli, Objektkredit von 68 Mio. Franken","EVP","JA"
"2013-03-03","1. Bau einer zentralen Klärschlammverwertungsanlage","Bau einer zentralen Klärschlammverwertungsanlage auf dem Areal Werdhölzli, Objektkredit von 68 Mio. Franken","FDP","JA"
"2013-03-03","1. Bau einer zentralen Klärschlammverwertungsanlage","Bau einer zentralen Klärschlammverwertungsanlage auf dem Areal Werdhölzli, Objektkredit von 68 Mio. Franken","Grüne","JA"
"2013-03-03","1. Bau einer zentralen Klärschlammverwertungsanlage","Bau einer zentralen Klärschlammverwertungsanlage auf dem Areal Werdhölzli, Objektkredit von 68 Mio. Franken","glp","JA"
"2013-03-03","1. Bau einer zentralen Klärschlammverwertungsanlage","Bau einer zentralen Klärschlammverwertungsanlage auf dem Areal Werdhölzli, Objektkredit von 68 Mio. Franken","SD","JA"
"2013-03-03","1. Bau einer zentralen Klärschlammverwertungsanlage","Bau einer zentralen Klärschlammverwertungsanlage auf dem Areal Werdhölzli, Objektkredit von 68 Mio. Franken","SP","JA"
"2013-03-03","1. Bau einer zentralen Klärschlammverwertungsanlage","Bau einer zentralen Klärschlammverwertungsanlage auf dem Areal Werdhölzli, Objektkredit von 68 Mio. Franken","SVP","JA"
"2013-03-03","2. Vormundschaftsbehörde, Neuorganisation","Vormundschaftsbehörde, Neuorganisation zur Kindes- und Erwachsenenschutzbehörde (KESB) gemäss übergeordnetem Recht, Änderung der Gemeindeordnung","AL","JA"
"2013-03-03","2. Vormundschaftsbehörde, Neuorganisation","Vormundschaftsbehörde, Neuorganisation zur Kindes- und Erwachsenenschutzbehörde (KESB) gemäss übergeordnetem Recht, Änderung der Gemeindeordnung","CVP","JA"
"2013-03-03","2. Vormundschaftsbehörde, Neuorganisation","Vormundschaftsbehörde, Neuorganisation zur Kindes- und Erwachsenenschutzbehörde (KESB) gemäss übergeordnetem Recht, Änderung der Gemeindeordnung","EVP","JA"
"2013-03-03","2. Vormundschaftsbehörde, Neuorganisation","Vormundschaftsbehörde, Neuorganisation zur Kindes- und Erwachsenenschutzbehörde (KESB) gemäss übergeordnetem Recht, Änderung der Gemeindeordnung","FDP","JA"
"2013-03-03","2. Vormundschaftsbehörde, Neuorganisation","Vormundschaftsbehörde, Neuorganisation zur Kindes- und Erwachsenenschutzbehörde (KESB) gemäss übergeordnetem Recht, Änderung der Gemeindeordnung","Grüne","JA"
"2013-03-03","2. Vormundschaftsbehörde, Neuorganisation","Vormundschaftsbehörde, Neuorganisation zur Kindes- und Erwachsenenschutzbehörde (KESB) gemäss übergeordnetem Recht, Änderung der Gemeindeordnung","glp","JA"
"2013-03-03","2. Vormundschaftsbehörde, Neuorganisation","Vormundschaftsbehörde, Neuorganisation zur Kindes- und Erwachsenenschutzbehörde (KESB) gemäss übergeordnetem Recht, Änderung der Gemeindeordnung","SD","JA"
"2013-03-03","2. Vormundschaftsbehörde, Neuorganisation","Vormundschaftsbehörde, Neuorganisation zur Kindes- und Erwachsenenschutzbehörde (KESB) gemäss übergeordnetem Recht, Änderung der Gemeindeordnung","SP","JA"
"2013-03-03","2. Vormundschaftsbehörde, Neuorganisation","Vormundschaftsbehörde, Neuorganisation zur Kindes- und Erwachsenenschutzbehörde (KESB) gemäss übergeordnetem Recht, Änderung der Gemeindeordnung","SVP","leer lassen"
"2013-03-03","3. Volksinitiative «Bezahlbar UND ökologisch wohnen!»","Stiftung für bezahlbare und ökologische Wohnungen, Grundkapital von 80 Millionen Franken (Umsetzung einer Volksinitiative)","AL","JA"
"2013-03-03","3. Volksinitiative «Bezahlbar UND ökologisch wohnen!»","Stiftung für bezahlbare und ökologische Wohnungen, Grundkapital von 80 Millionen Franken (Umsetzung einer Volksinitiative)","CVP","JA"
"2013-03-03","3. Volksinitiative «Bezahlbar UND ökologisch wohnen!»","Stiftung für bezahlbare und ökologische Wohnungen, Grundkapital von 80 Millionen Franken (Umsetzung einer Volksinitiative)","EVP","JA"
"2013-03-03","3. Volksinitiative «Bezahlbar UND ökologisch wohnen!»","Stiftung für bezahlbare und ökologische Wohnungen, Grundkapital von 80 Millionen Franken (Umsetzung einer Volksinitiative)","FDP","NEIN"
"2013-03-03","3. Volksinitiative «Bezahlbar UND ökologisch wohnen!»","Stiftung für bezahlbare und ökologische Wohnungen, Grundkapital von 80 Millionen Franken (Umsetzung einer Volksinitiative)","Grüne","JA"
"2013-03-03","3. Volksinitiative «Bezahlbar UND ökologisch wohnen!»","Stiftung für bezahlbare und ökologische Wohnungen, Grundkapital von 80 Millionen Franken (Umsetzung einer Volksinitiative)","glp","NEIN"
